Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Wednesday May 17,boxscore,BOS,,SEA,W,12,3,,24-20,5,8.0,Bello,Gonzales,,2:57,N,32209,.83,++,
45,Friday May 19,boxscore,BOS,@,SDP,W,6,1,,25-20,4,7.5,Paxton,Snell,Winckowski,2:25,N,41530,.86,+++,
46,Saturday May 20,boxscore,BOS,@,SDP,W,4,2,,26-20,4,7.5,Sale,Musgrove,Jansen,2:51,N,40215,.89,++++,
47,Sunday May 21,boxscore,BOS,@,SDP,L,0,7,,26-21,4,7.5,Wacha,Kluber,,2:38,D,42825,.90,-,
48,Monday May 22,boxscore,BOS,@,LAA,L,1,2,,26-22,4,8.5,Silseth,Crawford,,2:05,N,25314,.91,--,
49,Tuesday May 23,boxscore,BOS,@,LAA,L,0,4,,26-23,4,8.5,Canning,Bello,,2:13,N,25798,.89,---,
50,Wednesday May 24,boxscore,BOS,@,LAA,L,3,7,,26-24,4,9.5,Anderson,Paxton,,2:33,N,26596,.84,----,
51,Friday May 26,boxscore,BOS,@,ARI,W,7,2,,27-24,4,10.0,Sale,Pfaadt,,2:45,N,25467,.72,+,
52,Saturday May 27,boxscore,BOS,@,ARI,W,2,1,,28-24,4,9.0,Whitlock,Davies,Jansen,2:49,D,29142,.79,++,
53,Sunday May 28,boxscore,BOS,@,ARI,L,2,4,,28-25,4,10.0,Kelly,Houck,Castro,2:43,D,26051,.85,-,
54,Tuesday May 30,boxscore,BOS,,CIN,L,8,9,,28-26,5,9.5,Lively,Bello,Díaz,3:12,N,31642,.79,--,
55,Wednesday May 31,boxscore,BOS,,CIN,L,4,5,,28-27,5,10.5,Gibaut,Winckowski,Farmer,3:02,N,32593,.70,---,
56,Thursday Jun 1,boxscore,BOS,,CIN,W,8,2,,29-27,5,10.0,Martin,Herget,,2:38,N,31204,.70,+,
57,Saturday Jun 3 (1),boxscore,BOS,,TBR,W,8,5,,30-27,5,10.0,Kluber,Beeks,Jansen,2:55,D,31303,.78,++,
58,Saturday Jun 3 (2),boxscore,BOS,,TBR,L,2,4,,30-28,5,10.0,Faucher,Jansen,Adam,3:02,N,30784,.84,-,
59,Sunday Jun 4,boxscore,BOS,,TBR,L,2,6,,30-29,5,11.0,Bradley,Houck,,2:37,D,34192,.80,--,
60,Monday Jun 5,boxscore,BOS,,TBR,L,1,4,,30-30,5,12.0,McClanahan,Bello,Adam,2:35,D,30860,.64,---,2023-06-02 (Rain)
61,Tuesday Jun 6,boxscore,BOS,@,CLE,W,5,4,,31-30,5,12.0,Paxton,De Los Santos,Jansen,2:51,N,21471,.55,+,
62,Wednesday Jun 7,boxscore,BOS,@,CLE,L,2,5,,31-31,5,13.0,Bibee,Crawford,Clase,2:32,N,19444,.62,-,
63,Thursday Jun 8,boxscore,BOS,@,CLE,L,3,10,,31-32,5,14.0,Civale,Dermody,,2:36,N,21473,.57,--,
64,Friday Jun 9,boxscore,BOS,@,NYY,W,3,2,,32-32,5,14.0,Whitlock,Cole,Jansen,2:28,N,46007,.59,+,
65,Saturday Jun 10,boxscore,BOS,@,NYY,L,1,3,,32-33,5,14.0,Germán,Houck,Holmes,2:29,N,46061,.64,-,
66,Sunday Jun 11,boxscore,BOS,@,NYY,W,3,2,10,33-33,5,14.0,Jansen,Marinaccio,Martin,2:51,N,46138,.58,+,
67,Monday Jun 12,boxscore,BOS,,COL,L,3,4,10,33-34,5,14.0,Bard,Pivetta,Carasiti,3:05,N,32227,.57,-,
68,Tuesday Jun 13,boxscore,BOS,,COL,L,6,7,10,33-35,5,14.0,Bard,Garza,Johnson,3:29,N,31400,.49,--,
69,Wednesday Jun 14,boxscore,BOS,,COL,W,6,3,,34-35,5,14.0,Whitlock,Gomber,,2:31,N,31977,.43,+,
70,Friday Jun 16,boxscore,BOS,,NYY,W,15,5,,35-35,5,14.5,Jacques,Germán,,2:53,N,37086,.55,++,
71,Sunday Jun 18 (1),boxscore,BOS,,NYY,W,6,2,,36-35,5,12.5,Pivetta,King,,2:33,D,36178,.62,+++,2023-06-17 (Rain)
72,Sunday Jun 18 (2),boxscore,BOS,,NYY,W,4,1,,37-35,5,12.5,Bello,Severino,Jansen,2:20,N,36787,.67,++++,
73,Monday Jun 19,boxscore,BOS,@,MIN,W,9,3,,38-35,5,12.0,Paxton,López,,2:50,N,22081,.67,+++++,
74,Tuesday Jun 20,boxscore,BOS,@,MIN,W,10,4,,39-35,5,11.0,Crawford,Ober,Kluber,2:37,N,22650,.70,++++++,
75,Wednesday Jun 21,boxscore,BOS,@,MIN,L-wo,4,5,10,39-36,5,12.0,Morán,Ort,,2:53,N,23912,.75,-,
76,Thursday Jun 22,boxscore,BOS,@,MIN,L,0,6,,39-37,5,12.0,Ryan,Garza,,2:15,D,28553,.70,--,
77,Friday Jun 23,boxscore,BOS,@,CHW,W,3,1,,40-37,5,12.0,Bello,Giolito,Jansen,2:27,N,27015,.65,+,
78,Saturday Jun 24,boxscore,BOS,@,CHW,L-wo,4,5,,40-38,5,12.0,Graveman,Jansen,,2:46,D,33054,.77,-,
79,Sunday Jun 25,boxscore,BOS,@,CHW,L,1,4,,40-39,5,13.0,Scholtens,Crawford,Middleton,2:36,D,26077,.70,--,
80,Tuesday Jun 27,boxscore,BOS,,MIA,L,1,10,,40-40,5,13.0,Alcántara,Whitlock,,2:34,N,35327,.61,---,
